tcid,year,month_mean,day_mean,hour_mean,latitude_mean,longitude_mean,windspeed_mean,sealevelpressure_mean,distance_mean,angle_mean,radius_oci_mean,radius_34mean_mean,radius_34quadrant_mean,category,coreid,linext,density,calc,region,rz,site,spp,linext.log,linext.anom,linext.roll,density.log,density.anom,density.roll,calc.log,calc.anom,calc.roll
3,1988,8,27.333333333333332,7,25.516666666666666,-78.36666666666667,16.290740738333334,1008,313722.6551,76.10846884166666,240760,111120,37040,1,yircr12s,0.3591,1.2704,0.4596,y,ir,yircr,s,-1.024154378,0.050223313,-0.877644253,0.239331812,-0.645884244,0.242133408,-0.777398733,-0.159934808,-0.627535595
12,1988,11,22.8,10.8,27.22,-82.64,24.693333332,995.8,398831.62194,275.51699898,474112,250020,222240,1,yircr12s,0.3591,1.2704,0.4596,y,ir,yircr,s,-1.024154378,0.050223313,-0.877644253,0.239331812,-0.645884244,0.242133408,-0.777398733,-0.159934808,-0.627535595
36,1990,10,10.2,10.2,25.11,-81.95,20.577777777,996.8,257928.49016,252.1651212,463000,156648.33333333334,200633.33333333334,1,yircr12s,0.4259,1.3842,0.5956,y,ir,yircr,s,-0.853550702,0.660564823,-0.839727034,0.325122355,0.278787403,0.282085155,-0.518185978,0.819023057,-0.548225681
38,1991,6.333333333333333,20.11111111111111,9.333333333333334,26.733333333333334,-81.11111111111111,10.28888889,1012,265614.16297777777,136.60972015000002,NaN,NaN,NaN,1,yircr12s,0.4171,1.3317,0.5625,y,ir,yircr,s,-0.874429278,0.585870879,-0.920455495,0.286456322,-0.137964649,0.292874758,-0.575364145,0.603080689,-0.618039993
43,1991,10,15.8,10.8,23.84,-80.8,20.57777778,1005.6,253045.47104799998,74.804908544,333360,108805,143530,1,yircr12s,0.4171,1.3317,0.5625,y,ir,yircr,s,-0.874429278,0.585870879,-0.920455495,0.286456322,-0.137964649,0.292874758,-0.575364145,0.603080689,-0.618039993
47,1992,8,24,9,25.633333333333333,-80.31666666666666,64.30555555666666,938.3333333333334,296371.962245,86.7299969855,239216.66666666666,177792,166680,0,yircr12s,0.3558,1.3061,0.4674,y,ir,yircr,s,-1.033386504,0.017195011,-0.944130244,0.267045598,-0.34717822,0.281010761,-0.760569857,-0.096377902,-0.654618466
51,1992,9,28.25,9,28.75,-78.725,15.43333333,1004,472701.927975,97.533081465,222240,NaN,NaN,1,yircr12s,0.3558,1.3061,0.4674,y,ir,yircr,s,-1.033386504,0.017195011,-0.944130244,0.267045598,-0.34717822,0.281010761,-0.760569857,-0.096377902,-0.654618466
61,1994,6,30,6,21.7,-83.6,12.86111111,1011,469255.5685,218.8440276,NaN,NaN,NaN,1,yircr12s,0.3471,1.3355,0.4657,y,ir,yircr,s,-1.058142356,-0.071370046,-0.954707879,0.289305754,-0.107252768,0.285993953,-0.764213629,-0.110139182,-0.66338462
67,1994,11,16.333333333333332,8.8,25.626666666666665,-80.5,21.26370370333333,999.7333333333333,264265.5543,243.18211623866668,350645.3333333333,218960.41666666666,231500,1,yircr12s,0.3471,1.3355,0.4657,y,ir,yircr,s,-1.058142356,-0.071370046,-0.954707879,0.289305754,-0.107252768,0.285993953,-0.764213629,-0.110139182,-0.66338462
72,1995,8,1.6666666666666667,11,27.2,-79.78333333333333,35.15370370166667,985,373143.05113333336,93.58813634333333,277800,177483.33333333334,131183.33333333334,1,yircr12s,0.4142,1.322,0.54990000000000006,y,ir,yircr,s,-0.88140633,0.560910194,-0.959617397,0.279145741,-0.216759885,0.298867833,-0.598018835,0.517521676,-0.656278348
77,1995,8,23.333333333333332,10,26.522222222222222,-80.3,16.004938273333334,1006.3333333333334,273442.27773333335,107.79557546666666,281915.55555555556,185200,NaN,1,yircr12s,0.4142,1.322,0.54990000000000006,y,ir,yircr,s,-0.88140633,0.560910194,-0.959617397,0.279145741,-0.216759885,0.298867833,-0.598018835,0.517521676,-0.656278348
87,1996,6,17.666666666666668,8,27.7,-78.3,12.86111111,1009.6666666666666,395598.21043333336,115.40841679666667,277800,NaN,NaN,1,yircr12s,0.3909,1.3884,0.5452,y,ir,yircr,s,-0.939303506,0.353780718,-0.937960537,0.328152005,0.311441714,0.321027431,-0.606602579,0.485103814,-0.612036405
98,1996,10,18.333333333333332,7,22.416666666666668,-80.15,41.584259259999996,976.1666666666666,367532.0770333333,73.92923865566667,509300,150089.16666666666,200633.33333333334,0,yircr12s,0.3909,1.3884,0.5452,y,ir,yircr,s,-0.939303506,0.353780718,-0.937960537,0.328152005,0.311441714,0.321027431,-0.606602579,0.485103814,-0.612036405
114,1998,9,25.25,9,24.025,-81.6875,44.37083333375,980.25,288103.7832625,260.3670822625,409755,233484.2857142857,246051.42857142858,1,yircr12s,0.3558,1.4845,0.532,y,ir,yircr,s,-1.033386504,0.017195011,-1.103311702,0.395078015,1.032786763,0.367712614,-0.63111179,0.392540914,-0.730489701
120,1998,11,5,9,26.125,-81.875,25.72222222,990.5,313832.9838,278.76511957499997,444480,255228.75,243075,1,yircr12s,0.3558,1.4845,0.532,y,ir,yircr,s,-1.033386504,0.017195011,-1.103311702,0.395078015,1.032786763,0.367712614,-0.63111179,0.392540914,-0.730489701
125,1999,8,28,9,26.933333333333334,-76.8,40.726851851666666,976,457093.5125333333,80.39905400833334,308666.6666666667,205109,131492,2,yircr12s,0.2771,1.4223,0.395,y,ir,yircr,s,-1.283376827,-0.877155424,-1.078018188,0.35227528,0.571448319,0.371913132,-0.928869514,-0.731988111,-0.702951665
127,1999,9,14.5,9,26.7,-77.375,56.58888889,932,406289.615775,80.2296535325,555600,329887.5,256965,4,yircr12s,0.2771,1.4223,0.395,y,ir,yircr,s,-1.283376827,-0.877155424,-1.078018188,0.35227528,0.571448319,0.371913132,-0.928869514,-0.731988111,-0.702951665
129,1999,9,21.2,7.2,26.48,-82.28,24.693333331999998,997,307054.26564,241.4053185918,400032,160198,55560,1,yircr12s,0.2771,1.4223,0.395,y,ir,yircr,s,-1.283376827,-0.877155424,-1.078018188,0.35227528,0.571448319,0.371913132,-0.928869514,-0.731988111,-0.702951665
